"TimeStamp","User","App","Location","App context","Accessed Resources","Accessed Resource Locations","Action","AgentName"
"18-May-2026 12:11:18","robin.garrison@contoso.com","Word","OneDrive for Business","https://contoso-my.sharepoint.com/personal/robin_garrison_contoso_com/Documents/Project Plan.docx","Project Plan.docx","https://contoso-my.sharepoint.com/personal/robin_garrison_contoso_com/Documents/Project Plan.docx","Read",""
"18-May-2026 14:42:37","casey.calloway@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Legal/Shared Documents/Meeting Notes.docx","Meeting Notes.docx","https://contoso.sharepoint.com/sites/Legal/Shared Documents/Meeting Notes.docx","Read",""
"18-May-2026 14:44:07","avery.underhill@contoso.com","Copilot for M365 Chat",,"19:aeb8f4ff-4145-59af-ccff-e29827ca267d@thread.v2","Expense Summary.xlsx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Expense Summary.xlsx","Read",""
"18-May-2026 14:48:25","skyler.ellison@contoso.com","Copilot for M365 Chat",,"19:89e1ee3a-4981-f158-8ee4-ed3d0784f170@thread.v2","","","",""
"18-May-2026 15:30:27","parker.garrison@contoso.com","Copilot for M365 Chat",,"19:7805593b-f896-6b20-6e3f-b1fbd4b8edfb@thread.v2","","","",""
"18-May-2026 16:34:34","parker.radcliffe@contoso.com","Outlook",,"19:c9718b6c-4707-6d75-3f8e-1b31a3e6e034@thread.v2","","","",""
"18-May-2026 16:43:32","kendall.underhill@contoso.com","Copilot for M365 Chat",,"19:41b37077-8bb2-2976-0a72-99e94be77bd1@thread.v2","","","",""
"18-May-2026 17:06:09","devon.whitlock@contoso.com","Word","OneDrive for Business","https://contoso-my.sharepoint.com/personal/devon_whitlock_contoso_com/Documents/Proposal.docx","Proposal.docx","https://contoso-my.sharepoint.com/personal/devon_whitlock_contoso_com/Documents/Proposal.docx","Read",""
"18-May-2026 17:42:15","robin.lockwood@contoso.com","Word","OneDrive for Business","https://contoso-my.sharepoint.com/personal/robin_lockwood_contoso_com/Documents/Quarterly Review.docx","Quarterly Review.docx","https://contoso-my.sharepoint.com/personal/robin_lockwood_contoso_com/Documents/Quarterly Review.docx","Read",""
"18-May-2026 17:52:00","reese.calloway@contoso.com","Copilot for M365 Chat",,"19:e7329bbd-76ed-8d2e-d59e-3e8e8b0dfa67@thread.v2","Headcount Plan.xlsx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Headcount Plan.xlsx","Read",""
"18-May-2026 18:27:38","finley.garrison@contoso.com","Copilot for M365 Chat",,"19:df3391d6-34a7-0cff-a1c1-e74645d81ee8@thread.v2","FY26 Budget.xlsx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/FY26 Budget.xlsx","Read",""
"18-May-2026 18:36:05","finley.oakley@contoso.com","Outlook",,"19:b6077a4b-edbd-4544-af4a-5d8e2ddc1a84@thread.v2","","","",""
"18-May-2026 18:41:10","taylor.holloway@contoso.com","Copilot for M365 Chat",,"19:56abb2ee-6e26-9d6c-6050-e6fc9985bbc1@thread.v2","","","",""
"18-May-2026 18:54:30","reese.calloway@contoso.com","Copilot for M365 Chat",,"19:7cb1f240-487a-d562-9d33-473a523b16ad@thread.v2","","","",""
"18-May-2026 18:59:32","taylor.thackeray@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:a8556809-6d89-9617-e997-d117b2123c3b@unq.gbl.spaces?ctx=chat","","","",""
"18-May-2026 20:15:57","skyler.sinclair@contoso.com","PowerPoint","SharePoint Online","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Kickoff Deck.pptx","Kickoff Deck.pptx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Kickoff Deck.pptx","Read",""
"18-May-2026 20:30:30","rowan.lockwood@contoso.com","Copilot for M365 Chat",,"19:98da7de9-624c-6710-1d77-5ef799a4dceb@thread.v2","Meeting Notes.docx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Meeting Notes.docx","Read",""
"18-May-2026 20:49:50","logan.holloway@contoso.com","Copilot for M365 Chat",,"19:8e75b719-7092-91b9-20ea-7a0f3d0b062f@thread.v2","Proposal.docx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Proposal.docx","Read",""
"18-May-2026 20:59:24","finley.garrison@contoso.com","Whiteboard",,"19:7e562478-9b5c-9ece-01cb-207750ddb79e@thread.v2","","","",""
"18-May-2026 21:43:59","parker.draper@contoso.com","Whiteboard",,"19:81c16a0c-d77d-fd4e-426f-81a5a5bfca8e@thread.v2","","","",""
"19-May-2026 03:03:13","reese.calloway@contoso.com","Excel","SharePoint Online","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Expense Summary.xlsx","Expense Summary.xlsx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Expense Summary.xlsx","Read",""
"19-May-2026 03:11:35","parker.garrison@contoso.com","Copilot for M365 Chat",,"19:d823d8be-8693-67e5-ac45-4c84ff52a42e@thread.v2","","","",""
"19-May-2026 09:11:47","skyler.sinclair@contoso.com","Copilot for M365 Chat",,"19:24e893e6-0c5a-76b8-57f4-c1e6d091e6e1@thread.v2","Headcount Plan.xlsx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Headcount Plan.xlsx","Read",""
